Key,Item Type,Publication Year,Author,Title,Publication Title,DOI,Url,Conference Name
2612,preprint,2025,"Zhang, Mingjie; Du, Yuheng; Wu, Chengkai; Zhou, Jinni; Qi, Zhenchao; Ma, Jun; Zhou, Boyu",ApexNav: An Adaptive Exploration Strategy for Zero-Shot Object Navigation with Target-centric Semantic Fusion,,10.48550/arXiv.2504.14478,http://arxiv.org/abs/2504.14478,
2650,preprint,2025,"Ramachandran, Rahul; Garjani, Ali; Bachmann, Roman; Atanov, Andrei; Kar, Oğuzhan Fatih; Zamir, Amir",How Well Does GPT-4o Understand Vision? Evaluating Multimodal Foundation Models on Standard Computer Vision Tasks,,10.48550/ARXIV.2507.01955,https://arxiv.org/abs/2507.01955,
2655,preprint,2025,"Cao, Meng; Li, Xingyu; Liu, Xue; Reid, Ian; Liang, Xiaodan",SpatialDreamer: Incentivizing Spatial Reasoning via Active Mental Imagery,,10.48550/arXiv.2512.07733,http://arxiv.org/abs/2512.07733,
2658,preprint,2025,"Grover, Shresth; Gopalkrishnan, Akshay; Ai, Bo; Christensen, Henrik I.; Su, Hao; Li, Xuanlin",Enhancing Generalization in Vision-Language-Action Models by Preserving Pretrained Representations,,10.48550/arXiv.2509.11417,http://arxiv.org/abs/2509.11417,
1030,preprint,2024,"Ji, Yuxiang; He, Boyong; Tan, Zhuoyue; Wu, Liaoni",Game4Loc: A UAV Geo-Localization Benchmark from Game Data,,10.48550/arXiv.2409.16925,http://arxiv.org/abs/2409.16925,
1032,preprint,2024,"Wu, Rouwan; Cheng, Xiaoya; Zhu, Juelin; Liu, Xuxiang; Zhang, Maojun; Yan, Shen",UAVD4L: A Large-Scale Dataset for UAV 6-DoF Localization,,10.48550/arXiv.2401.05971,http://arxiv.org/abs/2401.05971,
1036,preprint,2024,"Elnoor, Mohamed; Weerakoon, Kasun; Seneviratne, Gershom; Xian, Ruiqi; Guan, Tianrui; Jaffar, Mohamed Khalid M.; Rajagopal, Vignesh; Manocha, Dinesh",Robot Navigation Using Physically Grounded Vision-Language Models in Outdoor Environments,,10.48550/arXiv.2409.20445,http://arxiv.org/abs/2409.20445,
1042,preprint,2024,"Elnoor, Mohamed; Weerakoon, Kasun; Seneviratne, Gershom; Xian, Ruiqi; Guan, Tianrui; Jaffar, Mohamed Khalid M.; Rajagopal, Vignesh; Manocha, Dinesh",Robot Navigation Using Physically Grounded Vision-Language Models in Outdoor Environments,,10.48550/arXiv.2409.20445,http://arxiv.org/abs/2409.20445,
1679,preprint,2024,"Lee, Jungdae; Miyanishi, Taiki; Kurita, Shuhei; Sakamoto, Koya; Azuma, Daichi; Matsuo, Yutaka; Inoue, Nakamasa",CityNav: A Large-Scale Dataset for Real-World Aerial Navigation,,10.48550/ARXIV.2406.14240,https://arxiv.org/abs/2406.14240,
2164,preprint,2024,"Wang, Xiangyu; Yang, Donglin; Wang, Ziqin; Kwan, Hohin; Chen, Jinyu; Wu, Wenjun; Li, Hongsheng; Liao, Yue; Liu, Si","Towards Realistic UAV Vision-Language Navigation: Platform, Benchmark, and Methodology",,10.48550/arXiv.2410.07087,http://arxiv.org/abs/2410.07087,
